"","win60s","RunName","drowsy","snTime_0","snTime_1","snTime_2","snTime_3","snTime_4","snTime_5","snTime_6","snTime_7","snTime_8","snTime_9","snTime_10","snTime_11","snTime_12","snTime_13","snTime_14","snTime_15","snTime_16","snTime_17","snTime_18","snTime_19","snTime_20","snTime_21","snTime_22","snTime_23","snTime_24","snTime_25","snTime_26","snTime_27","snTime_28","snTime_29","snTime_30","snTime_31","snTime_32","snTime_33","snTime_34","snTime_35","snTime_36","snTime_37","snTime_38","snTime_39","snTime_40","snTime_41","snTime_42","snTime_43","snTime_44","snTime_45","snTime_46","snTime_47","snTime_48","snTime_49","snTime_50","snTime_51","snTime_52","snTime_53","snTime_54","snTime_55","snTime_56","snTime_57","snTime_58","snTime_59","snTime_60","anTime_0","anTime_1","anTime_2","anTime_3","anTime_4","anTime_5","anTime_6","anTime_7","anTime_8","anTime_9","anTime_10","anTime_11","anTime_12","anTime_13","anTime_14","anTime_15","anTime_16","anTime_17","anTime_18","anTime_19","anTime_20","anTime_21","anTime_22","anTime_23","anTime_24","anTime_25","anTime_26","anTime_27","anTime_28","anTime_29","anTime_30","anTime_31","anTime_32","anTime_33","anTime_34","anTime_35","anTime_36","anTime_37","anTime_38","anTime_39","anTime_40","anTime_41","anTime_42","anTime_43","anTime_44","anTime_45","anTime_46","anTime_47","anTime_48","anTime_49","anTime_50","anTime_51","anTime_52","anTime_53","anTime_54","anTime_55","anTime_56","anTime_57","anTime_58","anTime_59","anTime_60","bnTime_0","bnTime_1","bnTime_2","bnTime_3","bnTime_4","bnTime_5","bnTime_6","bnTime_7","bnTime_8","bnTime_9","bnTime_10","bnTime_11","bnTime_12","bnTime_13","bnTime_14","bnTime_15","bnTime_16","bnTime_17","bnTime_18","bnTime_19","bnTime_20","bnTime_21","bnTime_22","bnTime_23","bnTime_24","bnTime_25","bnTime_26","bnTime_27","bnTime_28","bnTime_29","bnTime_30","bnTime_31","bnTime_32","bnTime_33","bnTime_34","bnTime_35","bnTime_36","bnTime_37","bnTime_38","bnTime_39","bnTime_40","bnTime_41","bnTime_42","bnTime_43","bnTime_44","bnTime_45","bnTime_46","bnTime_47","bnTime_48","bnTime_49","bnTime_50","bnTime_51","bnTime_52","bnTime_53","bnTime_54","bnTime_55","bnTime_56","bnTime_57","bnTime_58","bnTime_59","bnTime_60"
"1",32,"A_M1001YM01_1S1RNA",FALSE,-0.96679,-1.0986,-1.0107,-0.373615,-1.2305,-1.1865,-1.1865,-1.0547,-1.3183,-0.65917,-0.48339,-0.96679,-1.2305,-0.43945,-1.2305,-0.505495,-0.17578,-0.52734,-0.43945,-0.83495,-0.26367,-0.21972,0.35156,-0.52734,-0.57128,-0.65917,-0.30761,-0.96679,-0.3955,0.417475,-4.2915e-05,-0.57128,-0.61523,-0.65917,-0.79101,-0.3955,-0.13183,-0.30761,-0.61523,-0.769035,0.043945205,-0.21972,-0.30761,-1.1646,-2.0215,0.043945,-1.0986,-0.17578,-0.65917,-0.505365,-1.0986,-1.2305,-0.659195,-0.856905,-0.65917,-0.83495,-0.43945,-0.5933,-1.07665,-0.8789,-0.8789,0.192525,0.192445,0.192445,0.192455,0.20935,0.209495,0.209495,0.20942,0.20951,0.209495,0.20947,0.209465,0.20952,0.20939,0.209435,0.20942,0.20941,0.209435,0.209465,0.20945,0.209455,0.20951,0.209505,0.20941,0.209485,0.209455,0.209535,0.20938,0.20949,0.20957,0.231435,0.23159,0.23165,0.231555,0.23154,0.231585,0.23152,0.23153,0.130655,0,0.084774,0.089711,0.0896135,0.089576,0.159915,0.22521,0.23495,0.23507,0.235005,0.22506,0.22318,0.22287,0.22213,0.222195,0.2222,0.222225,0.22231,0.222195,0.22207,0.14497,0.137025,-0.025954,-0.016425,-0.016425,-0.016537,-0.016583,-0.0211385,-0.0258705,-0.0258525,-0.016578,-0.025889,-0.025917,-0.0259175,-0.0211945,-0.0306585,-0.0258705,-0.035279,-0.035381,-0.025917,-0.0261395,-0.0258845,-0.0259865,-0.025977,-0.0353395,-0.025917,-0.026019,-0.025917,-0.0259635,-0.01649,-0.0257965,-0.0260795,-0.0352835,-0.035395,-0.035367,-0.035432,-0.035409,-0.035399,-0.035367,-0.035469,-0.016416,-0.0164435,-0.016439,-0.01643,-0.016407,-0.0069337,-0.0069337,-0.0259915,-0.01649,-0.016305,-0.030352,-0.0354135,-0.0259585,-0.025936,-0.0352925,-0.0354275,-0.035302,-0.025917,-0.035307,-0.035358,-0.0307,-0.00698,-0.0545035
"2",33,"A_M1001YM01_1S1RNA",FALSE,-0.505325,-0.48339,-0.57128,-1.01065,-0.54944,-1.1426,-1.1426,-0.76906,-1.0986,-0.54912,-0.61523,-0.65917,-1.4502,-0.790965,-0.85699,-0.57128,-1.0547,-1.01065,-0.307915,0.08789,-1.2744,-1.0547,-1.0547,-1.0107,-0.92284,-0.8789,-1.2963,-1.2305,-0.61523,-0.35156,-0.92289,-1.4062,-0.74706,-0.65917,-0.74706,0.68117,-0.70312,-0.43945,-0.74706,-0.615125,-0.703205,-0.43945,0.26367,-0.944795,-1.0107,-1.1865,-1.1865,-0.76893,0.17565,0.57128,-0.28556,-1.1426,-0.70312,-0.65917,-0.52734,-0.52734,-0.3077,0.21972,0.46142,-1.47215,-1.0986,0.150215,0.165275,0.202785,0.203295,0.20371,0.20358,0.21122,0.212025,0.161795,0.202285,0.21899,0.218905,0.21901,0.23313,0.23335,0.233295,0.23331,0.23322,0.2333,0.23329,0.23324,0.233225,0.233265,0.23292,0.226375,0.221295,0.20753,0.195785,0,0,0,0.0205445,0.028422,0.0284045,0.039074,0.16446,0.190695,0.190135,0.189985,0.196775,0.21574,0.15233,0.16177,0.17201,0.19113,0.19161,0.19165,0.19162,0.192315,0.203605,0.21027,0.210325,0.21023,0.210335,0.210365,0.210345,0.210295,0.20985,0.19335,0.193385,0.19346,-0.01643,-0.0164345,-0.025908,-0.01649,-0.01637,-0.00694295,-0.0165135,-0.0165275,-0.016425,-0.02588,-0.0260565,-0.0258615,-0.025917,-0.0259635,-0.035353,-0.035344,-0.0260005,-0.035409,-0.035409,-0.035423,-0.0306445,-0.035367,-0.035446,-0.035409,-0.0353345,-0.025931,-0.0306355,-0.025922,-0.0163465,-0.016425,-0.0164345,-0.0069661,-0.0069893,-0.0069337,-0.0068456,-0.0068873,-0.0115498,-0.0070171,-0.016333,-0.0069105,-0.016578,-0.016578,-0.016425,-0.0164435,-0.025852,-0.01649,-0.016416,-0.021148,-0.025917,-0.035446,-0.026047,-0.0259635,-0.02575,-0.035381,-0.0448355,-0.035307,-0.0400155,-0.0353855,-0.0259355,-0.035409,-0.02104595
"3",34,"A_M1001YM01_1S1RNA",FALSE,-1.0986,-0.593215,-0.37349,-0.26367,-0.24165,-0.74706,-0.70312,-0.659235,-0.61523,-0.61523,-0.57128,-0.197755,-0.52734,-0.61523,-0.61523,-0.52734,-0.26367,-0.17578,-0.92284,-0.834975,-0.26367,-0.61523,0.17578,-0.74706,-0.8789,-0.8789,-0.92284,-0.8789,-0.48339,-0.0219725,-0.109778,-1.0107,-1.0107,-0.96679,-0.74706,-0.74706,-0.70312,-0.65917,-0.65917,-0.48335,-0.35156,-1.0547,-1.1426,-0.35156,-0.70312,-0.54927,-1.2744,-1.0547,-1.3623,-1.8017,-1.53805,-1.4502,-1.1865,-1.2085,-1.3183,-1.1866,-1.5381,-1.4502,-1.4502,-1.20865,-1.3183,0.19323,0.19346,0.19327,0.193225,0.19335,0.193305,0.193185,0.19428,0.198065,0.201075,0.214615,0.214605,0.21451,0.21455,0.2145,0.21456,0.21452,0.214575,0.21457,0.214545,0.21455,0.21456,0.214565,0.214485,0.21459,0.214605,0.214525,0.21461,0.2146,0.2145,0.214585,0.214535,0.214565,0.214515,0.214575,0.030896,0.12906,0.22284,0.221685,0.220985,0.15865,0.14079,0.141205,0.14143,0.225,0.228605,0.23079,0.230735,0.230775,0.23069,0.230715,0.230725,0.23071,0.227435,0.21634,0.16589,0.16417,0.16434,0.150355,0.1471,0.15752,-0.0305655,-0.035418,-0.030598,-0.0353255,-0.025917,-0.035381,-0.0259585,-0.0259215,-0.025968,-0.035372,-0.035256,-0.030663,-0.035409,-0.035409,-0.0353715,-0.035409,-0.035409,-0.0354645,-0.03552,-0.0354785,-0.035409,-0.0448495,-0.0355015,-0.0354365,-0.0259405,-0.0354735,-0.035399,-0.035478,-0.0355015,-0.035446,-0.0353485,-0.0445485,-0.044863,-0.035464,-0.04009,-0.016833,-0.03533,-0.044873,-0.035506,-0.040099,-0.025889,-0.016342,-0.0258845,-0.025829,-0.0448495,-0.035409,-0.02607,-0.035418,-0.040247,-0.035409,-0.045058,-0.044868,-0.0402845,-0.044956,-0.0401915,-0.0354875,-0.035265,-0.0306815,-0.0306815,-0.0165505,-0.040252
"4",35,"A_M1001YM01_1S1RNA",FALSE,-1.3183,-1.3183,-1.3183,-1.3183,-1.3623,-1.2744,-1.1865,-1.4502,-1.2305,-1.7139,-1.4941,-1.29635,-0.70312,0.21972,0.10986,0.52734,0.988745,-1.8457,-1.626,-0.57128,-0.96679,-0.35156,-0.043945,-0.13183,-0.3955,-1.0986,-0.35199,-0.08789,-0.57128,-0.17578,-0.17578,-0.79101,-0.17578,-0.043945,0.000214575,-1.3182,-1.16455,-0.70312,-0.74706,-1.3623,-1.4503,-1.0548,-0.81298,-1.4279,-1.1426,-1.07665,-0.92284,-0.92284,-0.92284,-0.70312,-1.582,-1.6478,-1.18695,-1.1426,-1.1865,-0.74706,-0.96679,-1.0986,-1.2085,-0.83495,-0.79101,0.16062,0.165745,0.167065,0.178325,0.19419,0.218035,0.218035,0.21793,0.21801,0.21796,0.217905,0.217955,0.21798,0.21793,0.218005,0.217975,0.2179,0.2179,0.21802,0.218,0.217935,0.21799,0.21793,0.217995,0.218,0.21789,0.217935,0.21799,0.217845,0.13015,0.0420535,0.233715,0.235415,0.234245,0.234075,0.23417,0.234125,0.233305,0,0.038762,0.141865,0.18604,0.206505,0.207095,0.2069,0.206865,0.20684,0.206945,0.206905,0.206945,0.20687,0.206895,0.20691,0.20685,0.206915,0.18081,0.179555,0.202745,0.236825,0.23762,0.23754,-0.0165135,-0.025973,-0.0165365,-0.021208,-0.025843,-0.0307555,-0.0354275,-0.035418,-0.025917,-0.035594,-0.0401455,-0.0353625,-0.035418,-0.045058,-0.045086,-0.044901,-0.044947,-0.0354735,-0.0354735,-0.0450395,-0.0402935,-0.0451785,-0.044882,-0.044984,-0.044845,-0.0448075,-0.0542715,-0.044845,-0.0447335,-0.026093,-0.035409,-0.040201,-0.054411,-0.040247,-0.044502,-0.04465,-0.0446965,-0.0539565,-0.035455,-0.035344,-0.025917,-0.035372,-0.035594,-0.0263805,-0.0351025,-0.035223,-0.030515,-0.0353995,-0.0401085,-0.035474,-0.035798,-0.0353535,-0.035474,-0.0356495,-0.0354735,-0.044882,-0.0447615,-0.0445945,-0.0355755,-0.044669,-0.0070078
"5",36,"A_M1001YM01_1S1RNA",FALSE,-1.0547,-1.8017,-2.2412,-1.89005,-0.615485,-0.83495,-1.582,-2.7685,-1.582,-1.1865,-1.2744,-1.9992,-2.527,-1.604,-0.81341,-1.6036,-1.6913,-1.9995,-1.2305,-1.7578,-1.7578,-1.73565,-2.1094,-1.7578,-1.7139,-1.4941,-0.8789,-0.878855,-1.80085,-0.791055,-0.43932,1.95555,-0.81358,-1.53785,-1.0107,-0.41778,0.593125,-0.681275,0,-0.79101,-0.21972,-0.26367,-0.70329,-0.8789,-0.08789,-0.65917,-1.4941,-0.57128,-0.0436445,-0.46168,-0.35156,-0.41739,-0.28551,-0.8789,-0.65917,-1.0547,-1.16455,-0.74706,-0.0659175,-0.021672,-0.08789,0.23756,0.237565,0.237505,0.237545,0.237565,0.237555,0.170035,0,0,0.10055,0.11316,0.158185,0.20903,0.20921,0.22272,0.223095,0.22304,0.22312,0.22307,0.197265,0.13295,0.180955,0.1813,0.18971,0.190065,0.208115,0.208655,0.20967,0.225575,0.22566,0.225735,0.225595,0.225725,0.225645,0.225505,0.22559,0.2256,0.22565,0.203255,0.187675,0.199965,0.213665,0.213685,0.15539,0.11648,0.1704,0.203415,0.199,0.216925,0.226515,0.227285,0.227125,0.21374,0.212865,0.21262,0.164805,0.13266,0.212975,0.212475,0.194965,0.18025,-0.044789,-0.044826,-0.044771,-0.0448725,-0.063828,-0.045308,-0.0453175,-0.025917,-0.0352605,-0.0351675,-0.0208745,-0.0166665,-0.035418,-0.035149,-0.0306255,-0.0353345,-0.035455,-0.0447055,-0.044984,-0.0447705,-0.026316,-0.035492,-0.0352045,-0.0353165,-0.0351955,-0.035483,-0.0354555,-0.035298,-0.035483,-0.044947,-0.0447615,-0.054392,-0.045049,-0.0449655,-0.0541515,-0.0543735,-0.044854,-0.0543365,-0.05417,-0.035344,-0.034871,-0.0448355,-0.039997,-0.0259725,-0.025815,-0.0259725,-0.035409,-0.025778,-0.0260375,-0.0447705,-0.035409,-0.04516,-0.0446595,-0.035594,-0.0446035,-0.035409,-0.02588,-0.044771,-0.044873,-0.025917,-0.044901
"6",37,"A_M1001YM01_1S1RNA",FALSE,-0.83495,-0.83495,-0.35156,-0.768735,-1.0986,-1.3183,0.13209,-0.35156,-0.43945,-1.0547,-1.033,0,0,-1.0986,-1.4502,-0.37323,-0.81298,-0.43945,-0.43945,-0.52734,-0.57128,-0.92284,-0.8789,-1.0547,-1.0547,-0.8789,-0.83495,-0.57128,-1.0107,-0.92284,-0.8789,-0.944815,-1.0107,-0.43945,-0.35156,-0.74706,-0.74706,-0.70312,-0.8789,-0.8789,-0.8789,-0.81298,-1.05495,0.26337,0.153805,0,0.26367,0.26367,-1.75735,-0.70312,-0.96679,-0.48339,-0.21972,0.92284,-0.48339,-0.8789,-0.593255,-0.74706,-0.13183,-0.21972,0,0.18052,0.18062,0.18015,0.18019,0.23389,0.23489,0.235075,0.234965,0.234965,0.234955,0.23497,0.234895,0.219415,0.070856,0.161185,0.2109,0.211205,0.19635,0.217025,0.21772,0.23059,0.20912,0.20863,0.20863,0.208585,0.208485,0.178845,0.17254,0.19221,0.192455,0.1925,0.21725,0.21876,0.219445,0.224445,0.224795,0.224785,0.22471,0.224755,0.224805,0.21751,0.150995,0.20241,0.206975,0.20691,0.206955,0.207175,0.207825,0.219435,0.21963,0.2197,0.219625,0.21967,0.219665,0.219695,0.21963,0.220845,0.232465,0.22711,0,0,-0.026065,-0.0350845,-0.030737,-0.0353625,-0.044901,-0.035409,-0.0447705,-0.0447335,-0.0541515,-0.044901,-0.049554,-0.0542625,-0.0543,-0.030274,-0.035223,-0.0354455,-0.035548,-0.035279,-0.035372,-0.035511,-0.0354275,-0.0402845,-0.03552,-0.0355295,-0.035724,-0.044752,-0.0353905,-0.0259355,-0.0352415,-0.0353905,-0.0353345,-0.035409,-0.0356125,-0.0307185,-0.044938,-0.0540585,-0.0399325,-0.044947,-0.0449655,-0.0449195,-0.0448635,-0.0256205,-0.044678,-0.04478,-0.035446,-0.035335,-0.035548,-0.0354455,-0.0354275,-0.0355475,-0.044808,-0.0445855,-0.044873,-0.054392,-0.0355105,-0.0449195,-0.044854,-0.054392,-0.0449565,-0.02588,-0.063884
"7",38,"A_M1001YM01_1S1RNA",FALSE,0.35113,-1.010615,-0.241695,-0.1319635,0.74706,-0.70312,-0.769035,-0.6372,-1.7578,-1.3841,-2.1972,-1.3183,-1.2305,-2.0654,-2.1094,-1.9999,-2.17525,-1.9557,-0.17578,-1.2305,-1.47225,-1.626,-1.45035,-1.4502,-2.0215,-1.1865,-1.582,-1.9775,-1.38455,-1.1865,-1.64795,-1.7139,-0.83495,-0.08789,-0.48339,-1.2524,-0.769035,-1.12015,-0.70355,-0.52734,-0.35113,-1.6907,-1.626,-0.48339,-0.74706,-0.83495,-1.1864,-1.0107,-0.417475,-1.3623,-0.96679,-0.769035,-0.61523,-0.74706,-1.1426,-1.1865,-1.0107,-0.944815,-0.8789,-0.659605,-0.57128,0,0,0.12085,0.26406,0.263575,0.26314,0.263095,0.2628,0.0284445,0,0,0,0,0.0316535,0.097534,0.19682,0.22633,0.22571,0.22574,0.225585,0.225595,0.22561,0.22564,0.22559,0.22569,0.22453,0.137005,0.20581,0.22682,0.22655,0.226555,0.226385,0.227185,0.227355,0.22726,0.22725,0.14135,0.19519,0.21646,0.21639,0.21629,0.216265,0.21938,0.23316,0.23332,0.233245,0.23316,0,0.13048,0.12893,0.12898,0.129545,0.169715,0.20145,0.201165,0.201,0.200925,0.20094,0.200945,0.20093,0.20127,-0.035483,-0.025917,-0.026056,-0.054476,-0.0355385,-0.035446,-0.049433,-0.054392,-0.0351675,-0.035483,-0.035075,-0.0352885,-0.0259265,-0.025398,-0.016481,-0.016509,-0.0354925,-0.030635,-0.0356035,-0.044752,-0.035724,-0.044604,-0.044901,-0.054383,-0.050768,-0.044956,-0.025732,-0.0445485,-0.054383,-0.035409,-0.04478,-0.0450025,-0.0447985,-0.0591475,-0.05417,-0.044641,-0.0168885,-0.0448175,-0.044947,-0.0450305,-0.035492,-0.035446,-0.0447615,-0.0541885,-0.0537895,-0.04491,-0.045151,-0.016555,-0.035548,-0.035418,-0.035492,-0.0260935,-0.02588,-0.035372,-0.0257965,-0.0166755,-0.0307465,-0.030756,-0.0354645,-0.035409,-0.035409
"8",39,"A_M1001YM01_1S1RNA",FALSE,-0.57128,-1.3183,-1.2305,-1.1426,-1.0107,-0.63733,0.2635,-0.417305,-1.0547,-1.5381,-0.90087,-0.74706,-0.96679,-0.96679,-0.96679,-0.96679,-0.54931,-0.74706,-0.74706,-1.582,-0.96679,-0.59369,-0.3731,-0.8789,-0.48322,-0.74706,-0.65917,-0.54901,-1.4062,-1.25245,-1.5602,-0.52734,0.46099,-0.26367,-0.8789,-0.92284,-0.83495,-0.83495,-1.4502,-0.57128,-0.46142,-0.96679,-0.96679,0.043945,-0.79101,-1.1206,-0.92284,-0.46142,-0.3955,0.13183,-0.79101,-0.83495,-0.83495,0.043945,0.30761,0.26367,-1.2305,-0.92284,-0.21972,-0.30761,-0.30761,0.20099,0.20096,0.201785,0.201795,0.2018,0.202205,0.219565,0.219795,0.216015,0.21547,0.215415,0.215425,0.21542,0.21538,0.2154,0.21548,0.215345,0.215395,0.21534,0.215415,0.21426,0.168955,0.201795,0.20181,0.20186,0.201775,0.201805,0.20179,0.2018,0.20179,0.20186,0.21332,0.21394,0.237575,0.23754,0.23749,0.23754,0.23752,0.23752,0.23755,0.23649,0.235845,0.23582,0.235845,0.235745,0.23579,0.120885,0,0,0,0.0481485,0.087509,0.11326,0.206325,0.206405,0.23085,0.23082,0.23074,0.23066,0.22568,0.21017,-0.035594,-0.044576,-0.040229,-0.0354275,-0.04021,-0.040303,-0.054207,-0.0500355,-0.044817,-0.0448445,-0.0448915,-0.0495815,-0.044678,-0.0451045,-0.0542905,-0.044845,-0.0543275,-0.054355,-0.0543735,-0.0497205,-0.0446965,-0.025899,-0.044901,-0.0453455,-0.0359465,-0.0402105,-0.040136,-0.044715,-0.0354365,-0.035298,-0.035344,-0.044901,-0.054392,-0.054281,-0.045197,-0.054392,-0.054392,-0.054355,-0.05442,-0.054318,-0.063884,-0.054392,-0.054346,-0.0541975,-0.0543275,-0.054392,-0.0402845,-0.035409,-0.035631,-0.035279,-0.035511,-0.016425,-0.025815,-0.0260375,-0.0354365,-0.0446965,-0.035409,-0.035409,-0.054337,-0.045049,-0.063958
"9",40,"A_M1001YM01_1S1RNA",FALSE,-0.35156,-1.2305,-0.08789,-0.70312,-0.30761,-0.43945,-0.79101,-0.26367,-0.26367,-0.747065,-0.285385,-0.61523,-1.0986,-0.52734,-0.57128,-1.5381,-1.4941,-1.0986,-1.0547,-0.329585,-0.59283,-0.65917,-0.65917,-0.65917,-0.70312,-0.70312,-0.74706,-0.74706,-1.2305,-1.2305,-0.48339,-0.26367,-0.57128,-1.1865,-0.92284,-1.66985,-0.3955,-0.21972,-0.65917,-1.5157,-2.4609,-2.5708,-1.4726,-0.43945,-1.4941,-0.83495,-1.6698,-1.4726,-0.26367,-1.6698,-1.07665,-0.72509,-1.9116,-0.988745,-1.5381,-1.4502,-0.96679,-1.5381,-1.2305,-1.2305,-1.1865,0.20948,0.20942,0.20944,0.209335,0.162015,0.181,0.1814,0.181415,0.18146,0.182475,0.198465,0.199325,0.2002,0.20012,0.200165,0.20001,0.200165,0.2001,0.20009,0.200145,0.200085,0.20013,0.20007,0.20017,0.201295,0.226545,0.22645,0.22646,0.226475,0.22648,0.22556,0.193745,0.19318,0.19513,0.21716,0.21716,0.217945,0.2189,0.218845,0.21882,0.218805,0.2188,0.218845,0.21873,0.21905,0.227145,0.227095,0.22585,0.19152,0.072139,0.143725,0.162915,0.16836,0.18428,0.229275,0.24963,0.24941,0.24945,0.24942,0.24945,0.24942,-0.044808,-0.044901,-0.054383,-0.044845,-0.035372,-0.0355755,-0.035446,-0.04021,-0.044808,-0.0351955,-0.035733,-0.035242,-0.035279,-0.0352885,-0.0401635,-0.0354275,-0.040331,-0.035372,-0.0356965,-0.0355015,-0.040136,-0.0352605,-0.035279,-0.035409,-0.0353995,-0.0452435,-0.044938,-0.0448075,-0.040173,-0.0450305,-0.0449565,-0.0448355,-0.0447705,-0.036113,-0.0449935,-0.0448355,-0.0449285,-0.0355755,-0.0449935,-0.044391,-0.0400615,-0.035409,-0.044817,-0.035594,-0.044873,-0.0356495,-0.0448075,-0.045058,-0.03577,-0.0165455,-0.025917,-0.0352975,-0.0258895,-0.025713,-0.0307185,-0.0353345,-0.0261485,-0.035381,-0.0353905,-0.0356775,-0.044901
"10",31,"A_M1001YM01_2S2RNA",FALSE,-1.3623,-0.52734,-1.82385,-1.4282,-2.0215,-3.16415,-1.9995,-2.1094,-1.07665,-1.2305,-1.582,-3.7353,-1.36215,-2.28515,-1.4062,-1.4502,-2.373,-1.9775,-1.73595,-2.2851,-3.18585,-1.05465,-4.7462,-1.0107,-1.23085,-1.0107,-0.48339,-2.3511,-1.9336,-1.6699,-1.6699,-1.0107,-1.0547,-1.8237,-1.80175,-1.4283,-0.65917,-1.40605,-1.5381,-1.6697,-2.8564,-1.626,-0.8789,-1.0547,-0.769035,-1.6699,-1.2744,-1.2744,-2.1533,-1.2744,-1.2744,-1.3183,-1.0986,-0.74706,-0.52734,-0.52734,-0.3955,-1.4502,-1.3623,-1.3623,-1.4062,0.18298,0.24529,0.25222,0.252015,0.251945,0.24147,0.24083,0.240925,0.047828,0,0,0,0,0,0.0323695,0.161275,0.300765,0.299895,0.26016,0.24674,0.246655,0.1138,0.14564,0.166075,0.16718,0.166945,0.166955,0.192515,0.19507,0.1951,0.195,0.195005,0.194965,0.19504,0.195725,0.19727,0.1985,0.19838,0.198355,0.198365,0.1984,0.19843,0.19831,0.198385,0.19844,0.198465,0.19841,0.198345,0.19848,0.21747,0.21995,0.220555,0.220505,0.22052,0.220535,0.220485,0.198365,0.196615,0.19675,0.19651,0.19718,-0.10071,-0.110275,-0.11527,-0.106005,-0.115345,-0.110285,-0.1197,-0.11986,-0.110355,-0.10544,-0.110185,-0.0913825,-0.100735,-0.0913455,-0.100715,-0.091313,-0.1197,-0.11031,-0.11025,-0.110165,-0.115075,-0.110055,-0.10071,-0.1102,-0.11019,-0.105445,-0.100735,-0.10071,-0.10542,-0.095968,-0.100785,-0.10545,-0.110145,-0.11024,-0.110145,-0.11032,-0.1102,-0.110195,-0.110215,-0.11015,-0.10071,-0.110165,-0.11028,-0.110215,-0.11024,-0.110135,-0.11024,-0.110185,-0.10084,-0.119605,-0.119715,-0.119715,-0.11023,-0.119825,-0.11974,-0.119715,-0.11971,-0.11034,-0.11967,-0.11017,-0.12447
