"","RunName","win60s","c"
"1","A_M1001YM01_1S1RNA",1,101
"2","A_M1001YM01_1S1RNA",2,102
"3","A_M1001YM01_1S1RNA",3,102
"4","A_M1001YM01_1S1RNA",4,103
"5","A_M1001YM01_1S1RNA",5,104
"6","A_M1001YM01_1S1RNA",6,104
"7","A_M1001YM01_1S1RNA",7,104
"8","A_M1001YM01_1S1RNA",8,106
"9","A_M1001YM01_1S1RNA",9,106
"10","A_M1001YM01_1S1RNA",10,106
"11","A_M1001YM01_1S1RNA",11,202
"12","A_M1001YM01_1S1RNA",12,203
"13","A_M1001YM01_1S1RNA",13,203
"14","A_M1001YM01_1S1RNA",14,203
"15","A_M1001YM01_1S1RNA",15,203
"16","A_M1001YM01_1S1RNA",16,204
"17","A_M1001YM01_1S1RNA",17,205
"18","A_M1001YM01_1S1RNA",18,205
"19","A_M1001YM01_1S1RNA",19,205
"20","A_M1001YM01_1S1RNA",20,206
"21","A_M1001YM01_1S1RNA",21,301
"22","A_M1001YM01_1S1RNA",22,304
"23","A_M1001YM01_1S1RNA",23,304
"24","A_M1001YM01_1S1RNA",24,304
"25","A_M1001YM01_1S1RNA",25,304
"26","A_M1001YM01_1S1RNA",26,305
"27","A_M1001YM01_1S1RNA",27,306
"28","A_M1001YM01_1S1RNA",28,306
"29","A_M1001YM01_1S1RNA",29,308
"30","A_M1001YM01_1S1RNA",30,308
"31","A_M1001YM01_1S1RNA",31,311
"32","A_M1001YM01_1S1RNA",32,311
"33","A_M1001YM01_1S1RNA",33,311
"34","A_M1001YM01_1S1RNA",34,311
"35","A_M1001YM01_1S1RNA",35,311
"36","A_M1001YM01_1S1RNA",36,311
"37","A_M1001YM01_1S1RNA",37,311
"38","A_M1001YM01_1S1RNA",38,311
"39","A_M1001YM01_1S1RNA",39,311
"40","A_M1001YM01_1S1RNA",40,311
"41","A_M1001YM01_1S1RNA",41,311
"42","A_M1001YM01_2S2RNA",1,101
"43","A_M1001YM01_2S2RNA",2,111
"44","A_M1001YM01_2S2RNA",3,111
"45","A_M1001YM01_2S2RNA",4,103
"46","A_M1001YM01_2S2RNA",5,102
"47","A_M1001YM01_2S2RNA",6,105
