"","new","c","hc_ward_cut"
"1","A_M1001YM01_1S1RNA 1","101","1"
"2","A_M1001YM01_1S1RNA 10","106","1"
"3","A_M1001YM01_1S1RNA 11","202","1"
"4","A_M1001YM01_1S1RNA 12","203","1"
"5","A_M1001YM01_1S1RNA 13","203","1"
"6","A_M1001YM01_1S1RNA 14","203","1"
"7","A_M1001YM01_1S1RNA 15","203","1"
"8","A_M1001YM01_1S1RNA 16","204","1"
"9","A_M1001YM01_1S1RNA 17","205","1"
"10","A_M1001YM01_1S1RNA 18","205","1"
"11","A_M1001YM01_1S1RNA 19","205","1"
"12","A_M1001YM01_1S1RNA 2","102","2"
"13","A_M1001YM01_1S1RNA 20","206","2"
"14","A_M1001YM01_1S1RNA 21","301","2"
"15","A_M1001YM01_1S1RNA 22","304","2"
"16","A_M1001YM01_1S1RNA 23","304","2"
"17","A_M1001YM01_1S1RNA 24","304","2"
"18","A_M1001YM01_1S1RNA 25","304","2"
"19","A_M1001YM01_1S1RNA 26","305","2"
"20","A_M1001YM01_1S1RNA 27","306","1"
"21","A_M1001YM01_1S1RNA 28","306","1"
"22","A_M1001YM01_1S1RNA 29","308","1"
"23","A_M1001YM01_1S1RNA 3","102","1"
"24","A_M1001YM01_1S1RNA 30","308","1"
"25","A_M1001YM01_1S1RNA 31","311","2"
"26","A_M1001YM01_1S1RNA 32","311","1"
"27","A_M1001YM01_1S1RNA 33","311","1"
"28","A_M1001YM01_1S1RNA 34","311","1"
"29","A_M1001YM01_1S1RNA 35","311","1"
"30","A_M1001YM01_1S1RNA 36","311","2"
"31","A_M1001YM01_1S1RNA 37","311","2"
"32","A_M1001YM01_1S1RNA 38","311","2"
"33","A_M1001YM01_1S1RNA 39","311","2"
"34","A_M1001YM01_1S1RNA 4","103","2"
"35","A_M1001YM01_1S1RNA 40","311","2"
"36","A_M1001YM01_1S1RNA 5","104","2"
"37","A_M1001YM01_1S1RNA 6","104","2"
"38","A_M1001YM01_1S1RNA 7","104","2"
"39","A_M1001YM01_1S1RNA 8","106","2"
"40","A_M1001YM01_1S1RNA 9","106","2"
"41","A_M1001YM01_2S2RNA 1","101","1"
"42","A_M1001YM01_2S2RNA 10","106","1"
"43","A_M1001YM01_2S2RNA 11","202","1"
"44","A_M1001YM01_2S2RNA 12","203","1"
"45","A_M1001YM01_2S2RNA 13","203","1"
"46","A_M1001YM01_2S2RNA 14","203","1"
"47","A_M1001YM01_2S2RNA 15","203","1"
"48","A_M1001YM01_2S2RNA 16","204","1"
"49","A_M1001YM01_2S2RNA 17","205","1"
"50","A_M1001YM01_2S2RNA 18","205","1"
"51","A_M1001YM01_2S2RNA 19","205","1"
"52","A_M1001YM01_2S2RNA 2","111","2"
"53","A_M1001YM01_2S2RNA 20","206","2"
"54","A_M1001YM01_2S2RNA 21","301","2"
"55","A_M1001YM01_2S2RNA 22","304","2"
"56","A_M1001YM01_2S2RNA 23","304","2"
"57","A_M1001YM01_2S2RNA 24","304","2"
"58","A_M1001YM01_2S2RNA 25","304","2"
"59","A_M1001YM01_2S2RNA 26","306","2"
"60","A_M1001YM01_2S2RNA 27","306","1"
"61","A_M1001YM01_2S2RNA 28","307","1"
